crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 18, 2026 @ 01:14:53.690",a0c38b221ef3cc19fb6625e590918dca,https://www.myntra.com/tshirts/decathlon/decathlon-kipsta---adults-navy-blue-viralto-moisture-managing-football-jersey-shirts/40276308/buy,Decathlon Kipsta - Adults Navy Blue Viralto Moisture Managing Football Jersey Shirts,Decathlon,629,799,21,4.3,63,40276308,Navy Blue
"Apr 18, 2026 @ 01:14:53.721",070c944347f5496f7ef812b6ea8702c8,https://www.myntra.com/tshirts/fit+oyster/fit-oyster-women-printed-t-shirt/40819233/buy,FIT OYSTER Women Printed T-shirt,FIT OYSTER,561,870,36,,,40819233,Pink
"Apr 18, 2026 @ 01:14:53.837",eaee25eab2a3e1c58bb64bf418f74218,https://www.myntra.com/tshirts/rigo/rigo-unisex-graphic-printed-drop-shoulder-sleeves-cotton-oversized-t-shirt/36600764/buy,Rigo Unisex Graphic Printed Drop-Shoulder Sleeves Cotton Oversized T-shirt,Rigo,535,1599,67,4.2,483,36600764,Navy Blue
"Apr 18, 2026 @ 01:14:53.781",db37c89744dd86145dc98867a5426df5,https://www.myntra.com/tshirts/flying+machine/flying-machine-drop-shoulder-sleeves-pure-cotton-relaxed-fit-t-shirt/31598736/buy,Flying Machine Drop-Shoulder Sleeves Pure Cotton Relaxed Fit T-shirt,Flying Machine,675,1299,48,4.4,97,31598736,Black
"Apr 18, 2026 @ 01:14:58.286",e1c62322b157d93e6516ef1e1d91d75b,https://www.myntra.com/tshirts/fit+oyster/fit-oyster-women-printed-t-shirt/40819222/buy,FIT OYSTER Women Printed T-shirt,FIT OYSTER,651,1050,38,,,40819222,Purple
"Apr 18, 2026 @ 01:14:58.356",a7d1f06a05b0d3d292554dcdeeea32b5,https://www.myntra.com/tshirts/glitchez/glitchez-striped-round-neck-cotton-t-shirt/40952776/buy,glitchez Striped Round Neck Cotton T-Shirt,glitchez,332,699,53,,,40952776,Green
"Apr 18, 2026 @ 01:14:58.311",41a08e2804340e58537b0316ad3c0443,https://www.myntra.com/tshirts/szn/szn-graphic-printed-oversized-cotton-t-shirt/41019456/buy,SZN Graphic Printed Oversized Cotton T-Shirt,SZN,299,2499,88,,,41019456,Black
"Apr 18, 2026 @ 01:14:58.455",ae32cf73197761da331707a7b761b546,https://www.myntra.com/tshirts/playr/playr-unisex-printed-chennai-super-kings-v-neck-cricket-ipl-jersey/33106544/buy,playR Unisex Printed Chennai Super Kings V-Neck Cricket IPL Jersey,playR,671,1199,44,4.5,210,33106544,Yellow
"Apr 18, 2026 @ 01:15:02.791",d721309c6edd01a23f43420b0e55c67e,https://www.myntra.com/tshirts/moda+rapido/moda-rapido-typography-printed-round-neck-cotton-oversized-t-shirt/41325934/buy,Moda Rapido Typography Printed Round Neck Cotton Oversized T-shirt,Moda Rapido,299,2499,88,,,41325934,Beige
"Apr 18, 2026 @ 01:15:02.831",97cf31e44f412086c4eea85086f2ed2b,https://www.myntra.com/tshirts/playr/playr-unisex-ipl-2025-chennai-super-kings-authentic-fan-jersey/33106556/buy,playR Unisex IPL 2025 Chennai Super Kings Authentic Fan Jersey,playR,731,1199,39,4.3,41,33106556,Yellow
"Apr 18, 2026 @ 01:15:02.928",6bedb289bc0d7fb5fa5638e375a89600,https://www.myntra.com/tshirts/fit+oyster/fit-oyster-women-printed-racerback-bamboo-t-shirt/40819227/buy,FIT OYSTER Women Printed Racerback Bamboo T-shirt,FIT OYSTER,588,925,36,,,40819227,Olive
"Apr 18, 2026 @ 01:15:03.028",78ee9504316e37e254bcb733ed0f5793,https://www.myntra.com/tshirts/glamzei/glamzei-women-pure-cotton-solid-regular-fit-tshirts/40757233/buy,GlamZei Women Pure Cotton Solid Regular Fit Tshirts,GlamZei,698,1396,50,4.7,21,40757233,Maroon
