crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 18, 2026 @ 18:28:43.134",417b845f4cd87263af6f9985d01fc78f,https://www.myntra.com/tshirts/moda+rapido/moda-rapido-men-polo-collar-t-shirt/32421223/buy,Moda Rapido Men Polo Collar T-shirt,Moda Rapido,349,999,65,4.2,40379,32421223,Coffee Brown
"Apr 18, 2026 @ 18:28:43.151",20f523d4ccb56d22c5205e15d5cafc13,https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-striped-polo-collar-t-shirt/19814084/buy,The Indian Garage Co Striped Polo Collar T-shirt,The Indian Garage Co,461,1399,67,4.4,1372,19814084,White
"Apr 18, 2026 @ 18:28:43.646",3f5d1ac889c541aa39992cdbb4a50c17,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-men-polo-collar-short-sleeve-lounge-t-shirt/37207046/buy,Lux Cozi Men Polo Collar Short Sleeve Lounge T-Shirt,Lux Cozi,379,399,5,4.2,170,37207046,Navy Blue
"Apr 18, 2026 @ 18:28:43.670",a73884fff89e645bb656ccc90754b0e6,https://www.myntra.com/tshirts/campus+sutra/campus-sutra-men-self-design-polo-collar-cotton-t-shirt/32193132/buy,Campus Sutra Men Self Design Polo Collar Cotton T-shirt,Campus Sutra,679,1699,60,4.4,18867,32193132,White
"Apr 18, 2026 @ 18:28:44.716",185f7142b4a2b57998aebd1f49bf3f0c,https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-men-solid-polo-collar-t-shirt/23053394/buy,The Indian Garage Co Men Solid Polo Collar T-shirt,The Indian Garage Co,526,1549,66,4.3,23774,23053394,Purple
"Apr 18, 2026 @ 18:28:45.223",82f4c6a3e131e23e1a0e4e85e020fcf7,https://www.myntra.com/tshirts/pantaloons+junior/pantaloons-junior-boys-polo-collared-short-sleeves-t-shirt/40740521/buy,Pantaloons Junior Boys Polo Collared Short Sleeves T-shirt,Pantaloons Junior,399,399,,,,40740521,Green
"Apr 18, 2026 @ 18:28:45.316",7d1a42fec6d0973270740aa440dedebd,https://www.myntra.com/tshirts/united+colors+of+benetton/united-colors-of-benetton-boys-polo-collar-t-shirt/39692065/buy,United Colors of Benetton Boys Polo Collar T-shirt,United Colors of Benetton,439,999,56,4.4,9,39692065,Cream
"Apr 18, 2026 @ 18:28:45.897",7f5b44d02ee2aeab2cc7f2551fbe4c0d,https://www.myntra.com/tshirts/pantaloons+junior/pantaloons-junior-boys-polo-collared-short-sleeves-t-shirt/40740519/buy,Pantaloons Junior Boys Polo Collared Short Sleeves T-shirt,Pantaloons Junior,399,399,,,,40740519,Pink
"Apr 18, 2026 @ 18:28:46.394",aebe547910bcf51bc2fd0aa9a4ec2027,https://www.myntra.com/tshirts/united+colors+of+benetton/united-colors-of-benetton-boys-polo-collar-t-shirt-with-contrast-sleeve/35076820/buy,United Colors of Benetton Boys Polo Collar T-shirt with Contrast Sleeve,United Colors of Benetton,610,1299,53,4.5,53,35076820,Blue
"Apr 18, 2026 @ 18:28:47.434",5353b7f29b03d13d7db5abcb64a0e395,https://www.myntra.com/tshirts/bhabhadbhut/bhabhadbhut-men-polo-collar-t-shirt/40638715/buy,BHABHADBHUT Men Polo Collar T-shirt,BHABHADBHUT,679,1599,58,,,40638715,Yellow
"Apr 18, 2026 @ 18:28:47.466",2523d1af7892d2e88d4d6ecc32cc017a,https://www.myntra.com/tshirts/earth+conscious/earth-conscious-boys-sky-blue-printed-polo-tshirts/40855289/buy,earth conscious Boys Sky Blue Printed Polo Tshirts,earth conscious,575,575,,,,40855289,Blue
