crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 17, 2026 @ 00:42:53.820",3d1260e810f276b94be343c76587f7de,https://www.flipkart.com/msv-boys-girls-printed-polyester-regular-t-shirt/p/itmd1dcd90c06e86?pid=KTBHH9YPDEPDHMM3&lid=LSTKTBHH9YPDEPDHMM3ERPPDB&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_11&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6Ca6bIIJvYRgtkhjYMVdY2CWF4yfdKIDRTyswfQeW9lpQ%3D%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,MSV Boys & Girls Printed Polyester Regular T Shirt,MSV,342,899,62,3.9,29,KTBHH9YPDEPDHMM3,Red
"Apr 17, 2026 @ 00:42:53.918",7a44c9976060bf4c1ee3d2693b81c419,https://www.flipkart.com/privic-boys-girls-printed-polyester-regular-t-shirt/p/itma2aa44698eea1?pid=KTBHAZFZ6TFFPZHG&lid=LSTKTBHAZFZ6TFFPZHGKK87NS&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_12&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6CMSYt507nmhLMkdTOf-3Emr0WX5Kb2eFEEfBYCuwupuPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,privic Boys & Girls Printed Polyester Regular T Shirt,privic,261,899,71,4.1,2989,KTBHAZFZ6TFFPZHG,Red
"Apr 17, 2026 @ 00:42:54.018",f72c508f172a614325881b3ad1559049,https://www.flipkart.com/desi-stuff-animal-print-cartoon-printed-solid-sporty-women-round-neck-white-t-shirt/p/itmda8d5f5c5fb4c?pid=TSHHMEE7K9GCG39X&lid=LSTTSHHMEE7K9GCG39XBU9GGE&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_13&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.TSHHMEE7K9GCG39X.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,"We Desi Stuff Animal Print, Cartoon, Printed, Solid, Sporty Women Round Neck White T-Shirt",We Desi Stuff,286,499,43,,,TSHHMEE7K9GCG39X,White
"Apr 17, 2026 @ 00:42:54.105",a6c7d4699e0f7613678eeedd5ef533c4,https://www.flipkart.com/killer-boys-printed-pure-cotton-regular-t-shirt/p/itm2ef973f0c32d1?pid=KTBH3H77XVFRZD7N&lid=LSTKTBH3H77XVFRZD7N9QZPHX&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_14&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.KTBH3H77XVFRZD7N.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,KILLER Boys Printed Pure Cotton Regular T Shirt,KILLER,299,299,0,4.1,35153,KTBH3H77XVFRZD7N,White2
"Apr 17, 2026 @ 00:42:54.268",660f6e8440e89b2a3b011aff1e1baae4,https://www.flipkart.com/yy-clothing-boys-girls-printed-pure-cotton-regular-t-shirt/p/itmd25a1a17bacf4?pid=KTBGPZJ7WDAMUWYN&lid=LSTKTBGPZJ7WDAMUWYNCBBJYR&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_15&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6AwYt7U0N8Yj12lJ-0Wu-jDL3qG9AaIxwd79E1Af2em4vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,YY CLOTHING Boys & Girls Printed Pure Cotton Regular T Shirt,YY CLOTHING,189,999,81,3.7,2247,KTBGPZJ7WDAMUWYN,BLACK
"Apr 17, 2026 @ 00:42:54.383",36a23e69e6a9d0794ae776b2dcae4e27,https://www.flipkart.com/rajfashion-boys-girls-graphic-print-polyester-regular-t-shirt/p/itm44959db310dd0?pid=KTBHKUH5G2BGPH3F&lid=LSTKTBHKUH5G2BGPH3FZHFO30&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_16&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.KTBHKUH5G2BGPH3F.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,rajfashion Boys & Girls Graphic Print Polyester Regular T Shirt,rajfashion,145,699,79,4.1,58,KTBHKUH5G2BGPH3F,RJ_Kids_White_RCB_
"Apr 17, 2026 @ 00:42:54.519",3ef07d8062b5ecd8ca332877eca28ea3,https://www.flipkart.com/tripr-solid-men-round-neck-multicolor-t-shirt/p/itm5d7dfb35a85e8?pid=TSHH7USMSVKWW9FY&lid=LSTTSHH7USMSVKWW9FYF6BKMO&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_17&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6DxZs5cS3WRPtjh2m7sgpCFxgXFEyX-i6Sp6JG2ZaL7VK1KaJFgl7OeEdnchgqx4tA%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,TRIPR Solid Men Round Neck Multicolor T-Shirt,TRIPR,493,999,51,4.0,65160,TSHH7USMSVKWW9FY,Multicolor26
"Apr 17, 2026 @ 00:42:54.679",101e907a97913bb8b1848d9ebffc92fa,https://www.flipkart.com/magneto-striped-men-polo-neck-multicolor-t-shirt/p/itmdecfb30dc60f6?pid=TSHGUBA9VCDCCJGD&lid=LSTTSHGUBA9VCDCCJGDGAJPD5&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_18&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6Dv32cIPTNb8ajHayssimFXtKtjvz3L8Ma0aQgDaIvAefUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Magneto Striped Men Polo Neck Multicolor T-Shirt,Magneto,423,499,15,4.0,8738,TSHGUBA9VCDCCJGD,BLACK_MRN
"Apr 17, 2026 @ 00:42:54.796",0c790fb5b3a908ef634c366a7cd5f35d,https://www.flipkart.com/ftc-fashions-boys-graphic-print-cotton-blend-regular-t-shirt/p/itmfd73917f4bab5?pid=KTBGVV3YZSRRGGBF&lid=LSTKTBGVV3YZSRRGGBF5NUVXE&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_19&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.KTBGVV3YZSRRGGBF.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,FTC FASHIONS Boys Graphic Print Cotton Blend Regular T Shirt,FTC FASHIONS,246,499,51,3.8,16259,KTBGVV3YZSRRGGBF,"Black, Blue, Nvy Blue, White"
"Apr 17, 2026 @ 00:42:54.924",aff7c884fb2fc21344de6661bb36dcc5,https://www.flipkart.com/hoc-printed-women-round-neck-black-t-shirt/p/itm4aff9bca6797b?pid=TSHHMD4RZXGYWG8C&lid=LSTTSHHMD4RZXGYWG8CVZJ2S0&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_20&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.TSHHMD4RZXGYWG8C.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,HOC Printed Women Round Neck Black T-Shirt,HOC,236,236,0,,,TSHHMD4RZXGYWG8C,Black
