crawl_timestamp,uniq_id,page_url,product_name,list_price,selling_price,discount_percentage,color,size,description,sku
"Aug 22, 2026 @ 20:34:47.284",b1dc097d61273a8afe462d0536359939,https://doodlage.in/products/bellis-styling-belt-black-copy,BELLIS STYLING BELT WHITE,,,,,,,SKU: DL26-SB-002-ONE SIZE
"Aug 22, 2026 @ 20:34:47.353",af2faa4e7641bb82ae960cdb8af7fcd6,https://doodlage.in/products/dl26-tn-009-blake-muted-indigo-tunic,BLAKE MUTED INDIGO TUNIC,,,,,,,SKU: DL26-TN-009-ONE SIZE
"Aug 22, 2026 @ 20:34:47.488",d47f9d4d4a77d80a5ffcbb82316f9d0a,https://doodlage.in/products/dl26-tn-012-blake-sand-beige-tunic,BLAKE SAND BEIGE TUNIC,,,,,,,SKU: DL26-TN-012-ONE SIZE
"Aug 22, 2026 @ 20:34:47.591",fd1b13846c9b4de29af5ed758c55ba74,https://doodlage.in/products/dl26-tn-011-blake-noir-tunic,BLAKE NOIR TUNIC,,,,,,,SKU: DL26-TN-011-ONE SIZE
"Aug 22, 2026 @ 20:34:47.964",54b166bbeda2cc1bae88a7211cd8b8c6,https://doodlage.in/products/dl23-tp-001-multi,Betty Panelled Top,,,,,,,SKU: DL23-TP-001-6XL
"Aug 22, 2026 @ 20:34:48.037",8a31887537bde48b61ceffde5178b4bd,https://doodlage.in/products/dl22-dr-040u,Carrie  Black Dress,,,,,,,SKU: DL22-DR-040U-XS
"Aug 22, 2026 @ 20:34:48.150",8126a56393cfef47045693ac46d26884,https://doodlage.in/products/dl26-tn-010-blake-soft-white-tunic,BLAKE SOFT WHITE TUNIC,,,,,,,SKU: DL26-TN-010-ONE SIZE
"Aug 22, 2026 @ 20:34:48.168",76549b458291875da91656a9332d4add,https://doodlage.in/products/dl26-dr-066-sora-flora-dress,SORA FLORA DRESS,,,,,,,SKU: DL26-DR-066-S-L
"Aug 22, 2026 @ 20:34:48.205",ee93bae4c7a586e38806b1c45d91bd39,https://doodlage.in/products/dl26-dr-065-sora-black-dress,SORA BLACK DRESS,,,,,,,SKU: DL26-DR-065-S-L
"Aug 22, 2026 @ 20:34:48.248",c73508dae0179a3092ebce1d73a212ca,https://doodlage.in/products/dl26-tp-017-savanna-white-top,SAVANNA WHITE TOP,,,,,,,SKU: DL26-TP-017-S-L
"Aug 22, 2026 @ 20:34:48.266",cdc2848cf86eee6f5425a22095e2f57c,https://doodlage.in/products/dl26-dr-063-midsummer-black-dress,MIDSUMMER BLACK DRESS,,,,,,,SKU: DL26-DR-063-XS-S
"Aug 22, 2026 @ 20:34:48.288",570d7faca5cb90a22ebb1b71b87bea57,https://doodlage.in/products/dl25-dr-034-cecile-embroidered-dress,CECILE EMBROIDERED DRESS,,,,,,,SKU: DL25-DR-034-XS
"Aug 22, 2026 @ 20:34:48.321",93100b16c569629663dae0775dfe0f1b,https://doodlage.in/products/dl26-dr-064-sora-beige-dress,SORA BEIGE DRESS,,,,,,,SKU: DL26-DR-064-S-L
"Aug 22, 2026 @ 20:34:48.341",ee5819fda23da39ecc17d3b1d9e14b58,https://doodlage.in/products/dl26-dr-069-susan-noir-dress,SUSAN NOIR DRESS,,,,,,,SKU: DL26-DR-069-S-L
"Aug 22, 2026 @ 20:34:48.363",d47f9d4d4a77d80a5ffcbb82316f9d0a,https://doodlage.in/products/dl26-tn-012-blake-sand-beige-tunic,BLAKE SAND BEIGE TUNIC,,,,,,,SKU: DL26-TN-012-ONE SIZE
"Aug 22, 2026 @ 20:34:48.389",c9bf3c4bec5ffea19f3f2a21cee83fde,https://doodlage.in/products/dl26-jk-008-sylvia-beige-waistcoat,SYLVIA BEIGE WAISTCOAT,,,,,,,SKU: DL26-JK-008-XS
"Aug 22, 2026 @ 20:34:48.410",766ca19a34126a7121263bc1b071b3a3,https://doodlage.in/products/dl26-dr-068-arlene-beige-dress,ARLENE BEIGE DRESS,,,,,,,SKU: DL26-DR-068-ONE SIZE
"Aug 22, 2026 @ 20:34:48.438",9652fd1b89727c32105b3833897a0c60,https://doodlage.in/products/dl26-dr-061-arlene-muted-indigo-dress,ARLENE MUTED INDIGO DRESS,,,,,,,SKU: DL26-DR-061-ONE SIZE
"Aug 22, 2026 @ 20:34:48.462",3ae61cadff555a2215940b28df5ddddd,https://doodlage.in/products/dl26-dr-067-sarah-noir-dress,SARAH NOIR DRESS,,,,,,,SKU: DL26-DR-067-XS
"Aug 22, 2026 @ 20:34:48.489",04e3657f610d9ddc235ce84503bc4c5f,https://doodlage.in/products/dl26-tp-016-savanna-black-top,SAVANNA BLACK TOP,,,,,,,SKU: DL26-TP-016-S-L
"Aug 22, 2026 @ 20:34:48.514",3f7bb594695225f3d5dc29d8a7f07dd4,https://doodlage.in/products/dl26-jk-009-sylvia-black-waistcoat,SYLVIA BLACK WAISTCOAT,,,,,,,SKU: DL26-JK-009-XS
"Aug 22, 2026 @ 20:34:48.595",a3b974cf955d370709e209b2fd09456c,https://doodlage.in/products/dl26-jk-010-sylvia-white-waistcoat,SYLVIA WHITE WAISTCOAT,,,,,,,SKU: DL26-JK-010-XS
"Aug 22, 2026 @ 20:34:48.628",001864a958dcc6e755746dc2554221b5,https://doodlage.in/products/dl26-dr-052-sora-muted-indigo-dress,SORA MUTED INDIGO DRESS,,,,,,,SKU: DL26-DR-052-S-L
"Aug 22, 2026 @ 20:34:48.668",b9a2555eadd9354fc406a5d55bb8246d,https://doodlage.in/products/dl26-sh-016-noren-blue-embroidered-shirt,NOREN BLUE EMBROIDERED SHIRT,,,,,,,SKU: DL26-SH-016-XS
"Aug 22, 2026 @ 20:34:48.689",b7f7adc103fa5d261ee0abffa62f736b,https://doodlage.in/products/dl26-dr-062-crayon-black-dress,CRAYON BLACK DRESS,,,,,,,SKU: DL26-DR-062-XS
"Aug 22, 2026 @ 20:34:48.718",b7f7adc103fa5d261ee0abffa62f736b,https://doodlage.in/products/dl26-dr-062-crayon-black-dress,CRAYON BLACK DRESS,,,,,,,SKU: DL26-DR-062-XS
"Aug 22, 2026 @ 20:34:48.739",da3771f25c71009c2ae4042b16ebee61,https://doodlage.in/products/dl26-sh-014-renelle-black-shirt,RENELLE BLACK SHIRT,,,,,,,SKU: DL26-SH-014-XS
"Aug 22, 2026 @ 20:34:48.766",075351e796b02f066164552a7d73909d,https://doodlage.in/products/dl26-sh-013-renelle-beige-shirt,RENELLE BEIGE SHIRT,,,,,,,SKU: DL26-SH-013-XS
