crawl_timestamp,uniq_id,page_url,product_name,brand,sku,selling_price,list_price,rating,image_url
"Apr 19, 2026 @ 13:49:16.067",0107c0845f8d3e80064b91757316e6d3,https://www.shoppersstop.com/snack-bowl-with-cloche-300ml/p/A25BTE18001754,Snack Bowl With Cloche 300Ml,Back To Earth,A25BTE18001754,796,995,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25BTE18001754/A25BTE18001754_CLEAR/A25BTE18001754_CLEAR.jpg
"Apr 19, 2026 @ 13:49:16.133",e44b35478c0a919a5a2f425600995dc5,https://www.shoppersstop.com/alivia-large-handi-with-lid/p/S23DIN180595,Alivia Large Handi With Lid,HomeStop,S23DIN180595,599,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S23DIN180595/S23DIN180595_BEIGE/S23DIN180595_BEIGE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.148",ccc15bb1bc821eab2683dd4890a94c2b,https://www.shoppersstop.com/borosilicate-glass-microwave-safe-mixing-serving-bowl-900-ml-clear/p/IH22MB15190,Borosilicate Glass Microwave Safe Mixing & Serving Bowl (900 ml) Clear,Borosil,IH22MB15190,369,435,,https://images-magento.shoppersstop.com/pub/media/catalog/product/IH22MB15190/IH22MB15190_MULTI/IH22MB15190_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.164",72f4218f23f3acd161d375d7d80ded69,https://www.shoppersstop.com/gardenia-mirasol-serving-bowlwlid-1-l/p/S24DIN161358,Gardenia Mirasol Serving Bowlwlid 1 L,HomeStop,S24DIN161358,795,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S24DIN161358/S24DIN161358_TEAL/S24DIN161358_TEAL.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.160",300fc97196547c3fc73c79073f1dd60e,https://www.shoppersstop.com/serving-bowl-wth-wooden-lid-1l/p/A25BTE18001752,Serving Bowl Wth Wooden Lid 1L,Back To Earth,A25BTE18001752,1295,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25BTE18001752/A25BTE18001752_CLEAR/A25BTE18001752_CLEAR.jpg
"Apr 19, 2026 @ 13:49:16.234",e92e78222651e025571d78b2a0a1bb30,https://www.shoppersstop.com/borosilicate-glass-microwave-safe-mixing-serving-bowl-1-3-l-clear/p/IH22MB04213,Borosilicate Glass Microwave Safe Mixing & Serving Bowl (1.3 L) Clear,Borosil,IH22MB04213,420,495,,https://images-magento.shoppersstop.com/pub/media/catalog/product/IH22MB04213/IH22MB04213_MULTI/IH22MB04213_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.245",840f76612f5600d0e551a049cffdb1c5,https://www.shoppersstop.com/neem-wood-salad-bowl-24x5/p/A25BTE18001502,Neem Wood Salad Bowl 24X5,Back To Earth,A25BTE18001502,1195,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25BTE18001502/A25BTE18001502_BROWN/A25BTE18001502_BROWN.jpg
"Apr 19, 2026 @ 13:49:16.261",98e7ddb6096ef37674ca13f50e8c945e,https://www.shoppersstop.com/grace-crowned-fruit-bowl-32cm/p/A25DIN160188,Grace Crowned Fruit Bowl 32Cm,HomeStop,A25DIN160188,1247,2495,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25DIN160188/A25DIN160188_CLEAR/A25DIN160188_CLEAR.jpg
"Apr 19, 2026 @ 13:49:16.254",0ffe70dd29998f861b71c01920d1b0c7,https://www.shoppersstop.com/borosilicate-glass-microwave-safe-mixing-serving-bowl-500-ml-clear/p/IH22MB01150,Borosilicate Glass Microwave Safe Mixing & Serving Bowl (500 ml) Clear,Borosil,IH22MB01150,318,375,,https://images-magento.shoppersstop.com/pub/media/catalog/product/IH22MB01150/IH22MB01150_MULTI/IH22MB01150_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:16.327",4edffb1bfa9236ae4d7c208fe87785ae,https://www.shoppersstop.com/marigold-quarter-plate-handpainted-stoneware/p/A237605131912,Marigold Quarter Plate - Handpainted Stoneware,Chumbak,A237605131912,636,795,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A237605131912/A237605131912_MULTI/A237605131912_MULTI.jpg_2000Wx3000H
