crawl_timestamp,uniq_id,page_url,product_name,brand,sku,selling_price,list_price,rating,image_url
"Apr 26, 2026 @ 14:43:36.179",6a1fb1cfb7166ce4501036447ab634d7,https://www.shoppersstop.com/printed-sweetheart-neck-polyester-women-dress/p/LA4233BLACKWTER,Printed Sweetheart Neck Polyester Women Dress,Sera,LA4233BLACKWTER,2298,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/LA4233BLACKWTER/LA4233BLACKWTER_BLACK/LA4233BLACKWTER_BLACK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.188",e0ee89eaf6a83f453c777a071080ca63,https://www.shoppersstop.com/textured-round-neck-rayon-women-dress/p/MMYLRMD137PD4,Textured Round Neck Rayon Women Dress,Moomaya,MMYLRMD137PD4,918,2700,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MMYLRMD137PD4/MMYLRMD137PD4_BLACK/MMYLRMD137PD4_BLACK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.213",418473b6292b52a7c4c15f6ac0c8d7d3,https://www.shoppersstop.com/floral-v-neck-polyester-women-dress/p/MC21D149437,Floral V-Neck Polyester Women Dress,Miss Chase,MC21D149437,1700,2395,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MC21D149437/MC21D149437_YELLOW_MIX/MC21D149437_YELLOW_MIX.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.198",6128a5627b14cf2914d300ede0a19300,https://www.shoppersstop.com/polka-dots-v-neck-georgette-women-dress/p/A2212061,Polka Dots V-Neck Georgette Women Dress,Qurvii,A2212061,3595,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A2212061/A2212061_BLACK/A2212061_BLACK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.285",f08415a1149d8de6d6a96e5b2637e10a,https://www.shoppersstop.com/solid-square-neck-georgette-women-dress/p/MCSS23D982462,Solid Square Neck Georgette Women Dress,Miss Chase,MCSS23D982462,859,2149,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MCSS23D982462/MCSS23D982462_BLACK/MCSS23D982462_BLACK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.293",056ce63f63a6dcd36a59b3e8f8fbb1fa,https://www.shoppersstop.com/animal-print-v-neck-polyester-women-dress/p/N22WDRK11987BK,Animal Print V-Neck Polyester Women Dress,Neudis,N22WDRK11987BK,2499,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/N22WDRK11987BK/N22WDRK11987BK_BLACK/N22WDRK11987BK_BLACK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.303",994f168526004630c0f4f32a940789a7,https://www.shoppersstop.com/dobby-v-neck-blended-fabric-women-dress/p/A24346DR60GR,Dobby V-Neck Blended Fabric Women Dress,FRATINI,A24346DR60GR,949,1899,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A24346DR60GR/A24346DR60GR_GREEN/A24346DR60GR_GREEN.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.315",0a6708d1265f5a8f5006a423f74732e4,https://www.shoppersstop.com/floral-v-neck-georgette-women-dress/p/A2315028,Floral V-Neck Georgette Women Dress,Qurvii,A2315028,3695,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A2315028/A2315028_IVORY/A2315028_IVORY.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.388",5f6e5cf982406b26f5acf74979b78fb3,https://www.shoppersstop.com/solid-v-neck-polyester-women-dress/p/N24WDR5147PK,Solid V-Neck Polyester Women Dress,Neudis,N24WDR5147PK,2499,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/N24WDR5147PK/N24WDR5147PK_PINK/N24WDR5147PK_PINK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.402",4f39ea9740a8f11773493b1df3dfbe48,https://www.shoppersstop.com/floral-v-neck-chiffon-women-dress/p/MMYMD315PD7,Floral V-Neck Chiffon Women Dress,Moomaya,MMYMD315PD7,1594,3890,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MMYMD315PD7/MMYMD315PD7_BLACK/MMYMD315PD7_BLACK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.408",3cb7bb1bc42e6941d8b4cf8840197117,https://www.shoppersstop.com/solid-v-neck-crepe-women-dress/p/A2212095,Solid V-Neck Crepe Women Dress,Qurvii,A2212095,2895,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A2212095/A2212095_BLACK/A2212095_BLACK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.395",636358b878da58fd17ea200f31e1d71e,https://www.shoppersstop.com/printed-round-neck-polyester-women-dress/p/LA4142BLUE,Printed Round Neck Polyester Women Dress,Sera,LA4142BLUE,1698,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/LA4142BLUE/LA4142BLUE_BLUE/LA4142BLUE_BLUE.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.489",d0d8c397b3211c5fb75d6747d6a01218,https://www.shoppersstop.com/textured-v-neck-georgette-women-dress/p/MCSS21D146762,Textured V-Neck Georgette Women Dress,Miss Chase,MCSS21D146762,1695,3199,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MCSS21D146762/MCSS21D146762_BLACK/MCSS21D146762_BLACK.jpg_2000Wx3000H
"Apr 26, 2026 @ 14:43:36.495",2f22b793d2bb40e586ea27db6755f84c,https://www.shoppersstop.com/floral-v-neck-blended-fabric-women-dress/p/MMYMD86PD4,Floral V-Neck Blended Fabric Women Dress,Moomaya,MMYMD86PD4,924,2200,,https://images-magento.shoppersstop.com/pub/media/catalog/product/MMYMD86PD4/MMYMD86PD4_BLUE/MMYMD86PD4_BLUE.jpg_2000Wx3000H
