crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Apr 18, 2026 @ 21:08:52.679",243910bf5baf48504087d705038184c8,https://apparelresources.com/business-news/retail/capri-holdings-falls-loss-q2-revenue-slides/,Capri Holdings falls into loss in Q2 as revenue slides | Retail News USA Capri Holdings falls into loss in Q2 as revenue slides,"With the luxury market remaining challenging, Capri expects the retail environment to improve in the second half of the fiscal year, positioning itself for growth in 2027.",Apparel Resources News-Desk,2025-11-05T17:03:55+00:00,"Capri Holdings Limited has reported a net loss for the second quarter of its 2025/26 fiscal year, with revenues also declining, according to its latest earnings update. For the quarter ended 27th September 2025, revenue from continuing operations amounted to US $ 856 million, marking a 2.5% drop year-on-year and a 4.2% decline on a constant-currency basis. The group’s Michael Kors label recorded revenue of US $ 725 million (down 1.8% reported, 3.3% at constant currency), while Jimmy Choo saw revenues of US $ 131 million, down 6.4% reported and 9.3% at constant currency. Gross profit declined to US $ 522 million from US $ 547 million in the prior year, and the gross margin narrowed to 61.0% from 62.3%, impacted in part by higher tariffs. Operating loss widened to US $ 12 million, representing an operating margin of –1.4%, compared with a loss of US $ 6 million and margin of –0.7% in the prior-year quarter. On an adjusted basis, operating income was US $ 20 million (2.3% margin) compared with US $ 37 million (4.2% margin) last year. Despite the setbacks, Capri Holdings did not cut its full-year guidance. The group continues to expect revenues for fiscal 2026 in the range of US $ 3.375 billion to US $ 3.45 billion and adjusted operating income around US $ 100 million. Chairman and Chief Executive John D. Idol stated that the quarter’s results gave the company confidence, noting that revenue, gross margin and operating income all exceeded expectations and reflected “the progress we are making as we execute against our strategic initiatives”. As the disposal of its Versace business to Prada S.p.A. draws near, Capri indicated it will use the proceeds to reduce debt and boost financial flexibility, and has authorised a new US $ 1 billion share repurchase programme to commence in fiscal 2027. With the luxury market remaining challenging, Capri expects the retail environment to improve in the second half of the fiscal year, positioning itself for growth in 2027.",https://apparelresources.com/wp-content/uploads/2025/11/Capri-Holdings-falls-into-loss-in-Q2-as-revenue-slides.jpg
"Apr 18, 2026 @ 21:08:52.717",f5afd3b26b0d7b1c16d492b945a32796,https://apparelresources.com/business-news/manufacturing/bureaucratic-redesign-essential-boosting-bangladesh-textile-industry-experts/,Bureaucratic redesign essential for boosting Bangladesh textile industry: Experts | Manufacturing News Bangladesh Bureaucratic redesign essential for boosting Bangladesh textile industry: Experts,"The Chief Advisor's Special Envoy on International Affairs, Lutfey Siddiqi, emphasised that reforms must begin at the design level of governance and cautioned that small adjustments by itself cannot provide long-term growth.",Apparel Resources News-Desk,2025-11-05T15:57:35+00:00,"Bangladesh’s textile industry has developed into a major player in the world market, yet structural bureaucratic obstacles still prevent it from reaching its full potential. The Chief Advisor’s Special Envoy on International Affairs, Lutfey Siddiqi, emphasised that reforms must begin at the design level of governance and cautioned that small adjustments by itself cannot provide long-term growth. “Our bureaucracy has no clear accountability for businesses,” asserted Lutfey Siddiqi, underscoring the necessity of structural reforms equal to that of Singapore or Malaysia. Important aspects of the textile and apparel business such as logistics, energy access, raw material imports and export procedures, are hampered by the lack of interministerial coordination. Process efficacy is limited by departmental resistance, despite the fact that port digitalisation has greatly shortened the processing time for e-gates. Such delays hinder production cycles and increase operating expenses for textile businesses. Ahead of elections, private investment is still muted, with policy uncertainty being seen as the primary barrier. “Private investment has clearly slowed, which is evident from Bangladesh Bank data,” stated Taskeen Ahmed, President of the Dhaka Chamber of Commerce and Industry and added,  “To restore policy predictability, we require political stability and an elected administration.” Foreign direct investment, which still accounts for less than 1% of GDP, is less important than domestic investment. “Who will invest when a country struggles to put out a fire at its international airport, lacks policy consistency and faces an energy crisis?” said Showkat Aziz Russell, President of BTMA. Textile expansion is discouraged by the turnover tax, which was previously flexible but now counts losing businesses as profitable. Khourshed Alam, COO, AkijBashir Group, said, “New industries pay higher gas rates while older ones enjoy cheaper gas. This deters investment.” Design-level reforms should strengthen the use of digitisation, establish fair tax and energy policies and clearly define interministerial accountability for textile supply chains. While industry associations push for structural responsibility, manufacturers and investors must actively interact with legislators and keep an eye on the effectiveness of digital services. When sourcing, international buyers should take cost and governance effectiveness into account. Bangladesh’s textile industry has a skilled workforce, is well-known throughout the world and has room to grow. However, piecemeal improvements will continue to impede growth in the absence of structural bureaucratic redesign.",https://apparelresources.com/wp-content/uploads/2025/11/Bureaucratic-redesign-essential-for-boosting-Bangladesh-textile-industry.jpg
"Apr 18, 2026 @ 21:08:52.725",f3a2d998fc5dc220fca84c85cbacce19,https://apparelresources.com/business-news/retail/aditya-birla-group-announces-leadership-transition-company-secretariat/,Aditya Birla Group announces leadership transition in company Secretariat | Retail News India Aditya Birla Group announces leadership transition in company Secretariat,"Effective 1st December 2025, Rajeev Agrawal will assume the role of Company Secretary and Compliance Officer, and will also serve as a Key Managerial and Senior Management Personnel of the Company.",Apparel Resources News-Desk,2025-11-05T17:41:49+00:00,"Aditya Birla Group has announced a key managerial change, with the retirement of Anil Malik and the appointment of Rajeev Agrawal as Company Secretary and Compliance Officer. The decision was approved by the company’s Board of Directors at its meeting held on Tuesday, 4th November 2025, following the recommendation of the Nomination and Remuneration Committee. Anil Malik will retire from his role with effect from the close of business on 30th November 2025, marking the conclusion of a 32-year tenure with the Aditya Birla Group. As part of his retirement, Malik will also cease to serve as the Company Secretary, Compliance Officer, and Key Managerial Personnel (KMP), as well as a member of the Senior Management team. Effective 1st December 2025, Rajeev Agrawal will assume the role of Company Secretary and Compliance Officer, and will also serve as a Key Managerial and Senior Management Personnel of the Company. The Board expressed its deep appreciation for Malik’s outstanding service, professionalism and dedication, acknowledging his significant contribution to the Group’s governance and compliance functions over more than three decades. It extended its best wishes to him for future endeavours.",https://apparelresources.com/wp-content/uploads/2025/11/Aditya-Birla-Group-announces-leadership-transition-in-company-Secretariat.jpg
"Apr 18, 2026 @ 21:08:52.749",8a6c3793d452e5a173ca2f5b4a65d6a5,https://apparelresources.com/business-news/retail/cyber-attack-cuts-ms-h1-profit-55-4-amid-online-disruption/,Cyber-attack cuts M&S H1 profit by 55.4% amid online disruption | Retail News UK Cyber-attack cuts M&S H1 profit by 55.4% amid online disruption,M&S said the incident forced it to suspend online clothing orders for seven weeks and caused major disruption to its e-commerce platform and backend systems — a blow that affected both sales and margins across the group.,Apparel Resources News-Desk,2025-11-05T17:18:45+00:00,"British retailer Marks & Spencer (M&S) has revealed a 55.4% drop in its underlying profit for the first half of the 2025/26 financial year, primarily due to a significant cyber-attack in April. M&S said the incident forced it to suspend online clothing orders for seven weeks and caused major disruption to its e-commerce platform and backend systems — a blow that affected both sales and margins across the group. The company estimates the incident will reduce group operating profit by approximately US $ 380–390 million for the full fiscal year. In its retail division for fashion, home and beauty, the impact was pronounced: sales fell 16.4% while online sales plunged 42.9%. Store sales also declined by 3.4%. Operating profit for that division dropped to about US $ 59 million, with its margin shrinking to 2.7% from 12%. Chief Executive Stuart Machin described the first half as “an extraordinary moment in time for M&S”, saying that the underlying strength of the business and “robust financial foundations” provided the resilience needed to deal with the challenge. He added that M&S expects second-half profit to be at least in line with last year. The company is now focused on recovery: its e-commerce platform restoration is underway, with the re-introduction of third-party fashion brands such as Adidas, Columbia and New Balance. It has also cut standard home delivery times to five days in the UK. M&S believes that as the residual effects of the cyber-attack diminish, the second half will provide a “springboard” into growth for the next financial year. Despite the setback, the company emphasises confidence in its recovery trajectory — though it warns that much will depend on restoration of full operational capacity and ongoing consumer market conditions.",https://apparelresources.com/wp-content/uploads/2025/11/Cyber-attack-cuts-MS-H1-profit-by-55.4-amid-online-disruption.jpg
"Apr 18, 2026 @ 21:08:53.507",7cdadbfe566e0b4f78ab0f35389c4b24,https://apparelresources.com/technology-news/manufacturing-tech/ananta-companies-enhance-production-efficiency-via-ai-driven-fabric-optimisation/,Ananta Companies to enhance production efficiency via AI-driven fabric optimisation | Manufacturing Tech News Bangladesh Ananta Companies to enhance production efficiency via AI-driven fabric optimisation,"In order to introduce cutting-edge automation and fabric-optimisation skills in Bangladesh's readymade garment industry, Shapeshifter has established a strategic relationship with Ananta Companies.",Apparel Resources News-Desk,2025-11-03T15:51:26+00:00,"In order to introduce cutting-edge automation and fabric-optimisation skills in Bangladesh’s readymade garment industry, Shapeshifter has established a strategic relationship with Ananta Companies, one of the nation’s most well-known clothing manufacturers. Shapeshifter is a cloud-based ‘fabric and resource hyper-automation’ supplier that operates worldwide and has its headquarters in New Zealand. Its purpose is to support the apparel supply chain from fabric costing and purchasing to cutting and marker-making. In order to minimise fabric waste, lead times and operational effort, the platform computes the best cut plans and marker layouts using sophisticated algorithms and large-scale parallel computing. The two businesses claim that with this collaboration, they would concentrate on lowering fabric waste, enhancing supply-chain flexibility and integrating digital transformation techniques into Bangladesh’s garment manufacturing industry. Ananta’s sustainability and innovation objectives are in line with Shapeshifter’s goal of assisting manufacturers for using fewer resources while increasing productivity. By combining Ananta’s manufacturing scale and buyer network with Shapeshifter’s in-house automation and analytics skills, they want to position Bangladesh’s garment industry for the next wave of manufacturing revolution. Founded in 1992, Ananta has grown into a vertically integrated company with over 16,000 workers that supplies major fashion and lifestyle brands in the US and Europe through its woven, denim, outerwear, lingerie and sportswear businesses.",https://apparelresources.com/wp-content/uploads/2025/11/Ananta-Companies-to-enhance-production-efficiency-via-AI-driven-fabric-optimisation.jpg
"Apr 18, 2026 @ 21:08:53.515",f66489dd70ef9fb9fe772a74463ea276,https://apparelresources.com/fashion-news/features/chanel-surpasses-louis-vuitton-brand-finances-2025-luxury-rankings/,Chanel surpasses Louis Vuitton in Brand Finance's 2025 luxury rankings | Designer & Labels News Europe Chanel surpasses Louis Vuitton in Brand Finance’s 2025 luxury rankings,"French fashion maisons maintain their position at the forefront of the global luxury sector, according to Brand Finance’s latest valuation of premium and luxury brands.",Apparel Resources News-Desk,2025-05-27T17:58:10+00:00,"French luxury fashion brand Chanel has replaced Louis Vuitton as the second most valuable luxury brand, Brand Finance’s 2025 Global Luxury & Premium report states. Porsche still holds the number one position, followed by Hermès and Rolex at the number three and four positions, respectively. Dior is also considered to be the strongest luxury brand globally by overwhelming all other brands in terms of consumer perception and market strength. In total, the top 50 luxury and premium brands together had a brand value of US $ 317 billion—its highest ever. French brands contribute almost half of the total, US $ 154.4 billion, or 49 per cent and Italy comes a distant second at US $ 57.6 billion. Fashion brands still own the sector, with 32 entries contributing US $ 221 billion in brand value, or 70 per cent of the total. Chanel recorded a stunning 45.4 per cent value increase to US $ 37.9 billion, allowing it to overtake Louis Vuitton, whose value grew by 2.1 per cent to US $ 32.9 billion. Chanel also rose in the Brand Strength Index from fifth to fourth on a score of 89.6 out of 100. The consultancy said Chanel registered a perfect 10 in France for awareness, customer satisfaction and consideration—emphasising its strong home-market resonance. The brand also did well in the US, Europe and Asia, indicating its wide-ranging global popularity. The rise of the house is a reflection of a string of measured strategic steps, such as opening a high jewellery flagship store in New York and hiring Matthieu Blazy as artistic director to reimagine its creative trajectory. These efforts are designed to embed Chanel deeper into the market and add strength to its hold over the high-end category. The overall list has Dior sitting in sixth position but making a profound leap in brand power. At a Brand Strength Index of 93.5, it is now the strongest luxury and premium brand in the world—and one of the 10 strongest brands across all industries. Brand Finance attributes Dior’s rise to increased international awareness and a robust online presence, especially in America and Europe, where it leads the customer consideration and recommendation measures. Brand Finance’s approach merges financial projections with brand-specific royalty rates and a sophisticated Brand Strength Index. The composite score includes investment metrics, brand equity indicators and real business performance to evaluate both the strength and value of every brand. The luxury and premium segment grew its combined brand value by 43 per cent between 2019 and 2024 and this upturn continued into 2025, announced Bertrand Chovet, managing director of Brand Finance France. But he warned that the industry is moving into a new phase of change. Growth is slowing, however. Today’s luxury consumers are moving toward experiences—like travel and cultural experiences—versus traditional material possessions. The model of steady price inflation fueled by unrelenting demand is declining. Brands have to innovate and evolve now to remain relevant, Chovet continued. Despite such headwinds, the sector is still holding up. Strategic pricing and steady demand have kept things going, but structural shifts are in process. Luxury and premium brands have beaten global markets with 5 per cent average annual growth for the last five years, according to McKinsey—this trend now set to be re-calibrated.",https://apparelresources.com/wp-content/uploads/2025/05/Chanel-surpasses-Louis-Vuitton-in-Brand-Finances-2025-luxury-rankings.jpg
"Apr 18, 2026 @ 21:08:53.655",fe08cfed7eb75a43d8914143d6ef455d,https://apparelresources.com/fashion-news/features/dior-appoints-jonathan-anderson-creative-director-across-collections/,Dior appoints Jonathan Anderson as creative director across all collections | Fashion Designer & Label News France Dior appoints Jonathan Anderson as creative director across all collections,"In a historic move, Dior has appointed Jonathan Anderson to oversee its women’s, men’s, and haute couture lines—making him the first designer to lead all three since Christian Dior himself.",Apparel Resources News-Desk,2025-06-03T13:37:28+00:00,"In a groundbreaking move set to reshape its creative direction, Dior has appointed Jonathan Anderson as artistic director of its women’s, men’s, and haute couture lines—the first time since the passing of Christian Dior himself that a single designer will oversee all facets of the iconic French fashion house. The announcement marks a historic integration of Dior’s creative authority and a vote of confidence in Anderson’s complex design abilities. Northern Irish-born and for years regarded as one of the most innovative voices in modern fashion, Anderson takes on a role that brings together what had been distinct areas of responsibility. He replaces Maria Grazia Chiuri, who directed women’s and couture, and Kim Jones, who directed menswear. The brand stated that Dior is delighted to unveil Jonathan Anderson, a visionary designer with an extraordinary career. The action, it further noted, “strengthens a cohesive world vision” for Christian Dior Couture—a first since its founder. Christian Dior Couture chairman and CEO Delphine Arnault welcomed the designer’s appointment. She said that she has watched Jonathan’s career with admiration since he joined LVMH more than ten years ago. His creative force and contemporary sensibility are a great fit for Dior. She added that their teams and unparalleled Ateliers are ready to bring his vision to life. Anderson’s new appointment follows a fruitful stint at Loewe, where he reimagined the Spanish brand with a unique combination of craftsmanship, subversion, and wit. Both brands belong to LVMH, the world’s largest luxury group, led by chairman Bernard Arnault. Senior Arnault said that Jonathan Anderson is among the most exceptional creative talents of his generation, and his unique artistic vision will be responsible for the next chapter of Dior’s legendary history. While rumours of the appointment had been circulating for months—and Bernard Arnault had already alluded to Anderson’s takeover on the menswear side during LVMH’s annual general meeting—the official announcement seals a new chapter for the house. In a statement, Anderson said it is a deep privilege to become creative director of both women’s and men’s collections at Dior, and the house’s heritage, its emotional resonance, and its timeless beauty have forever fascinated him. He added that he is both humbled and honoured to uphold its tradition alongside the exceptional Ateliers. Anderson’s first show for Dior will be on 27th June in Paris, where he will debut the Men’s Summer 2026 collection. The fashion world will be waiting with bated breath.",https://apparelresources.com/wp-content/uploads/2025/06/Dior-appoints-Jonathan-Anderson-as-creative-director-across-all-collections.jpg
"Apr 18, 2026 @ 21:08:53.685",ece8c6ef4f3c4d03165c60d8c22834b4,https://apparelresources.com/fashion-news/features/maria-grazia-chiuri-steps-dior-transformative-tenure/,Maria Grazia Chiuri steps down from Dior after transformative tenure | Designer & Labels News France Maria Grazia Chiuri steps down from Dior after transformative tenure,"After nearly a decade at the helm, Maria Grazia Chiuri is departing Dior, where she made history as the brand’s first female creative director. Her tenure redefined the house with bold feminist themes and unprecedented commercial success.",Apparel Resources News-Desk,2025-05-30T15:55:27+00:00,"Maria Grazia Chiuri, the pioneering Italian designer who broke the glass ceiling as the first woman to helm Dior’s women’s collections, has revealed that she is leaving the brand. The decision brings an end to a nine-year stint that not only revolutionised Dior’s creative strategy but propelled the label to unprecedented commercial and cultural heights. In an Instagram announcement of her departure, Chiuri looked back on nearly a decade at the fashion house, one that promoted feminist values and honoured women’s creativity. “Together, we have written a remarkable and impactful chapter,” she declared, thanking her atelier teams whose hands raised her vision for “committed women’s fashion” to life. Chiuri took the helm in 2016 and brought a new vision to Dior, balancing tradition with forward-thinking vision. Her first collection for Spring 2017 rocked the world with its now-famous “We Should All Be Feminists” T-shirt—a mission statement that would become the hallmark of future seasons. She subsequently partnered with feminist artists like Judy Chicago and Faith Ringgold, merging activism and art into the realm of luxury fashion. During her tenure, Dior saw a financial boom, with reported revenues growing by almost US $ 8 billion from 2017 to 2023. Chiuri reimagined house staples such as the Saddle Bag, and her runway shows—from Mumbai to Kyoto—highlighted international craftsmanship and community. Her last show, the Resort 2026 collection, was held in Rome’s Villa Torlonia and honoured Italian cinema, complete with a short film directed by renowned filmmaker Matteo Garrone. Dior CEO and Bernard Arnault’s daughter Delphine Arnault complimented Chiuri on her “exceptional creativity” and “empowering feminist point of view,” stating that she “redrew the identity and femininity of the Dior woman”. A successor has not yet been named, but industry speculation points toward Jonathan Anderson, who recently took over Dior’s men’s collections. Chiuri’s departure follows a wave of creative shifts across major luxury labels, including the recent appointment of her former Valentino co-director Pierpaolo Piccioli at Balenciaga. As the first female artistic director at Dior since its establishment in 1947, Chiuri leaves a permanent mark—not only on the house’s heritage, but on fashion’s changing relationship with power, politics, and today’s woman.",https://apparelresources.com/wp-content/uploads/2025/05/Maria-Grazia-Chiuri-steps-down-from-Dior-after-transformative-tenure.jpg
"Apr 18, 2026 @ 21:08:54.391",d5cd160ee49a821f0f791feafa5c6318,https://apparelresources.com/technology-news/manufacturing-tech/clo-virtual-fashion-desl-launch-plug-streamline-digital-product-creation/,"CLO Virtual Fashion, DeSL launch plug-in to streamline digital product creation | Manufacturing Tech News India CLO Virtual Fashion, DeSL launch plug-in to streamline digital product creation","The new tool connects the CLO ecosystem with DeSL’s PLM platform to create an end-to-end digital product creation workflow, designed to accelerate time-to-market and enhance cross-team collaboration.",Apparel Resources News-Desk,2025-10-29T15:49:02+00:00,"CLO Virtual Fashion and DeSL – the integrated software solution provider for the fashion and apparel supply chain – have announced the launch of the CLO-Vise plug-in for DeSL’s Product Lifecycle Management (PLM) solution, marking a major step towards seamless digital integration in fashion product development. The new tool connects the CLO ecosystem with DeSL’s PLM platform to create an end-to-end digital product creation workflow, designed to accelerate time-to-market and enhance cross-team collaboration. The CLO-Vise plug-in enables users to synchronise data, eliminate manual duplication and work more efficiently across both platforms. Designers can now access DeSL PLM’s material libraries—including fabrics, trims, solid colours and print designs—directly within CLO, while also viewing key PLM product data such as category, brand, product number, gender and description. Colin Marks, CEO of DeSL, said the partnership with CLO represents a major step towards unifying digital product creation processes. He noted that the integration demonstrates both companies’ commitment to providing design and development teams with tools that help them “move faster, reduce waste and bring better products to market.” Hemant Khandagale, Product Manager at CLO Virtual Fashion, said the integration of CLO with DeSL PLM via CLO-Vise marks “a meaningful advancement” in streamlining digital product development. By bridging 3D design with structured product data, he added, teams can collaborate with greater clarity, make more informed decisions and build a more agile development process. The plug-in also allows users to publish 2D and 3D product assets, along with high-resolution images, directly to PLM from CLO. Enhanced features such as product, colour and material search aim to speed up workflows, while support for both Mac and Windows versions ensures accessibility across teams.",https://apparelresources.com/wp-content/uploads/2025/10/CLO-Virtual-Fashion-DeSL-launch-plug-in-to-streamline-digital-product-creation.jpg
"Apr 18, 2026 @ 21:08:54.424",b1826b7d0956136eee07a15198928cd9,https://apparelresources.com/fashion-news/features/lvmh-warns-weak-demand-quarter-missing-q1-revenue-estimates/,LVMH warns of weak demand this quarter after missing Q1 revenue estimates | Designer & Labels News France LVMH warns of weak demand this quarter after missing Q1 revenue estimates,"LVMH is reportedly cautioning analysts and investors that consumer demand has remained sluggish in the current quarter, following a disappointing first-quarter performance in which the luxury group fell short of revenue expectations.",Apparel Resources News-Desk,2025-05-22T16:28:43+00:00,"In a bid to soften market expectations, LVMH is subtly indicating that business is still tough in the second quarter, said individuals familiar with the situation who asked not to be named discussing non-public information. Some of these sources indicate the company might not experience any or much improvement over its disappointing first-quarter results. The warning comes as part of a wider slowdown in the global luxury market, as historically one of the industry’s main growth drivers, China, is also beginning to feel signs of consumer fatigue. Economic uncertainty and declining interest in high-end spending have taken a heavy toll on the sector, which comprises world giants such as Chanel, Hermès, and Richemont. The sentiment has also deteriorated since new U.S. import tariffs were imposed last month by former U.S. President Donald Trump, heightening concerns about lower consumer expenditure across major markets. LVMH, which usually informs investors and analysts about its prognosis after earnings releases, reported on 14th April 2025 that revenue in the Asia region, including China, fell 11 per cent organically in the first quarter—a fall that reflects its performance for all of 2024. Bloomberg data now shows that analysts project second-quarter sales in Asia-Pacific (excluding Japan) to fall another 6.4 per cent. The company’s core fashion and leather goods segment—where it has behemoths Louis Vuitton and Christian Dior—is projected to register a 3.7 per cent decline in revenue. The division continues to be the company’s primary money maker. China’s contribution to LVMH’s overall sales is considerable, representing a proportion of about 30 per cent, and the U.S. about 24 per cent. The dual pressures from China’s slowdown and US trade tensions have seen LVMH shares decline 22 per cent year-to-date. Rival companies such as Hermès and Richemont have performed better, having had shares increase over the same period. Kering, which owns Gucci, has, however, had its stock drop 24 per cent.",https://apparelresources.com/wp-content/uploads/2025/05/LVMH-warns-of-weak-demand-this-quarter-after-missing-Q1-revenue-estimates.jpg
