crawl_timestamp,uniq_id,page_url,product_name,list_price,selling_price,discount_percentage,color,size,description,sku
"Mar 31, 2026 @ 21:46:35.345",1ba1a6d8269b01fc9ee586a0458ed682,https://styleunion.in/collections/womens-socks/products/cotton-blend-ankle-length-socks-s108?variant=46254745387257,Women Cotton Blend Ankle Length Socks (Pack of 2),99,,0,Multicolour,FS,"Product Details Fabric type: Cotton Blend Length: Ankle Length Description These ankle-length socks are crafted from a comfortable cotton blend, perfect for everyday wear. They provide a snug fit and excellent breathability, ensuring your feet stay cozy and fresh throughout the day. Fabric and Care Accessories Hand Wash",8907546878563
"Mar 31, 2026 @ 21:46:44.493",851df6bfe9786ef949093493e98613b0,https://styleunion.in/collections/womens-socks/products/cotton-blend-ankle-length-socks-s110?variant=46254745354489,Women Cotton Blend Ankle Length Socks (Pack of 2),99,,0,Multicolour,FS,"Product Details Fabric type: Cotton Blend Length: Ankle Length Description These ankle-length socks are crafted from a comfortable cotton blend, perfect for everyday wear. They provide a snug fit and excellent breathability, ensuring your feet stay cozy and fresh throughout the day. Fabric and Care Accessories Hand Wash",8907546878570
"Mar 31, 2026 @ 21:46:53.595",c84c0769da2ec865439dd4b812a5a8d3,https://styleunion.in/collections/womens-socks/products/womens-cotton-ankle-length-socks-lso0010?variant=46254739390713,Womens Cotton Ankle Length Socks (Pack of 2),99,,0,Multicolour,FS,"Product Details Fabric type: Cotton (Cotton 72%, Polyester 27%, Spandex 1%) Weave type: Woven Pattern: Solid Length: Ankle Length Style: Ladies Socks Occasion: Accessories Description These ankle length socks are crafted from a comfortable cotton, perfect for everyday wear. They provide a snug fit and excellent breathability, ensuring your feet stay cozy and fresh throughout the day. Wash and Care Hand Wash",8909001180143
"Mar 31, 2026 @ 21:47:02.659",e184d21f8cf0e8a4485c249f852a33a1,https://styleunion.in/collections/womens-socks/products/cotton-ankle-length-socks-lso0001?variant=46254740865273,Women Cotton Socks (Pack of 2),69,,0,Multicolour,FS,"Product Details Fabric type: Cotton (Cotton 72% Polyester 27% Spandex 1%) Pattern: Printed Style: Socks Occasion: Accessories Description These printed pattern socks has a shoe liner socks. Made from cotton, it is soft and comfortable to wear. Wash and Care Hand Wash",8909001022962
"Mar 31, 2026 @ 21:47:11.713",3c2337b2ff2d3c4ef9c231a1f79daba5,https://styleunion.in/collections/womens-socks/products/cotton-blend-ankle-length-socks-s110-2?variant=46254738014457,Women Cotton Blend Ankle Length Socks (Pack of 2),99,,0,Multicolour,FS,"Product Details Fabric type: Cotton Blend Length: Ankle Length Description These ankle-length socks are crafted from a comfortable cotton blend, perfect for everyday wear. They provide a snug fit and excellent breathability, ensuring your feet stay cozy and fresh throughout the day. Fabric and Care Accessories Hand Wash",8907546878587
"Mar 31, 2026 @ 21:47:20.898",a8dfb765827bb2ec9fa62b5b7582ad23,https://styleunion.in/collections/womens-socks/products/womens-cotton-striped-socks-pack-of-2-lso0005?variant=45012215398649,Womens Cotton Striped Socks (Pack of 2),99,,0,Multicolour,FS,"Product Details Fabric type: Cotton (Cotton 72% Polyester 27% Spandex 1%) Weave type: Knit Pattern: Striped Style: Socks Occasion: Accessories Description These socks are crafted from a comfortable cotton, perfect for everyday wear. They provide a snug fit and excellent breathability, ensuring your feet stay cozy and fresh throughout the day. Wash and Care Hand Wash",8909001210192
"Mar 31, 2026 @ 21:47:29.984",74e94f461d8fcbc2bc41f0c4f533de16,https://styleunion.in/collections/womens-socks/products/womens-cotton-polyester-printed-socks-lso0019?variant=44988530295033,Womens Cotton Polyester Printed Socks (Pack of 2),99,,0,Multicolour,FS,"Product Details Fabric type: Cotton Polyester Weave type: Woven Pattern: Printed Style: Ladies Socks Occasion: Accessories Description These socks are crafted from a comfortable cotton polyester, perfect for everyday wear. They provide a snug fit and excellent breathability, ensuring your feet stay cozy and fresh throughout the day. Fabric Wash and Care Hand Wash",8909063001271
"Mar 31, 2026 @ 21:47:39.156",457bb656efdfbe30fa9135d716abbf4b,https://styleunion.in/collections/womens-socks/products/womens-cotton-striped-socks-pack-of-2-lso0009?variant=45012215300345,Womens Cotton Striped Socks (Pack of 2),49,,0,Multicolour,FS,"Product Details Fabric type: Cotton (Cotton 72% Polyester 27% Spandex 1%) Weave type: Knit Pattern: Striped Style: Socks Occasion: Accessories Description These socks are crafted from a comfortable cotton, perfect for everyday wear. They provide a snug fit and excellent breathability, ensuring your feet stay cozy and fresh throughout the day. Wash and Care Hand Wash",8909001210154
"Mar 31, 2026 @ 21:47:48.380",8f85265e86524a29a8658e1b9509714c,https://styleunion.in/collections/womens-socks/products/regular-fit-solid-shirt-collar-regular-length-shirt-smss00017?variant=46362676330745,Travelator™ Half Sleeve Shirt – Airdry® – 4 Way Ultra Stretch Fabric,699,,0,Black,S,"Product Details Fabric Type: Polyester (100% Elastomultiester) Weave Type: Knit Pattern: Solid Length: Regular Neck/Collar Type: Shirt Collar Sleeve Type: Half Sleeve Fit: Regular Fit Pockets: Patch Pocket, 1 Description Experience elevated comfort and refined style with the Airdry Travelator™ Half Sleeve Shirt, crafted for the modern man who values performance and sophistication. Made from new-generation elastomultiester fabric, this shirt delivers a smooth, premium feel with advanced functionality—perfect for travel, work, and everyday wear. Engineered with 4-way ultra stretch, it offers unmatched flexibility and freedom of movement, keeping you comfortable through long days and busy schedules. Powered by AirDry™ technology, it dries sweat fast to ensure you stay cool, fresh, and confident. The breathable and lightweight construction enhances airflow, while its wrinkle-resistant, wash & wear design makes it easy to maintain—no ironing needed. The “Zero Top Stitch” finish creates a clean, seamless look, while the Savile Row–inspired detailing adds a touch of timeless elegance. Designed with full sleeves and a structured silhouette, it delivers a polished, versatile appearance suitable for both formal and smart-casual occasions. New-generation elastomultiester fabric for soft feel and durability 4-way ultra stretch for superior flexibility and comfort Fast sweat-drying with AirDry™ technology for all-day freshness Breathable and lightweight for enhanced wearability Wrinkle-resistant and wash & wear for low-maintenance care “Zero Top Stitch” finish for a sleek, premium look Savile Row–inspired design for refined sophistication Half sleeves with a structured fit for versatile styling From boardroom meetings to travel days, the Travelator™ Full Sleeve Shirt ensures you stay sharp, comfortable, and effortlessly stylish wherever you go. Wash and Care Dry Clean Only",8909001584101
"Mar 31, 2026 @ 21:47:57.724",d3536e07aa50deb534604a681401b6fe,https://styleunion.in/collections/womens-socks/products/elastomultiester-fabric-ultra-light-weight-enhanced-flexibility-and-stretch-wicking-technology-fast-dry-and-breathable-mobile-pocket-air-shorts-atst00001?variant=46284196643065,Airshorts™ 25 – Airdry® – Ultra Light Shorts with Fast Dry Comfort,499,,0,Black,XS,,8909001506608
