crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,sku,color,seller
"Apr 19, 2026 @ 20:02:31.516",dee2f69d0ba935cbd621c3b4d22ade5c,https://www.limeroad.com/blue-cotton-jeans-miss-chase-a-p22433631,Women Solid High Rise Wide Leg Jeans,Miss Chase A+,1590,3245,51,22433631,Blue,CHASE LIFESTYLE PRIVATE LIMITED
"Apr 19, 2026 @ 20:02:31.528",ed83366a557fc1ba2ddac35ee6a8ba35,https://www.limeroad.com/light-blue-denim-showoff-p21843537,Women High Rise Straight Fit Jean,SHOWOFFFF,1749,4698,63,21843537,light blue,Showoff
"Apr 19, 2026 @ 20:02:31.536",93ebbdae5758e2b8ad576af5b13727f3,https://www.limeroad.com/blue-cotton-blend-crimsoune-club-p21916035,Women Solid Mid Rise Slim Fit Jean,CRIMSOUNE CLUB,1499,2499,40,21916035,blue,Mangla Apparels India Pvt. Ltd.
"Apr 19, 2026 @ 20:02:31.559",0ba29e7c4a34ff081b2c7df9bbbca777,https://www.limeroad.com/mid-blue-cotton-v-mart-p21862459,Women Blue Low Rise Ankle Length Jeans,Twist by Vmart,699,799,13,21862459,Blue,V MART RETAIL LTD
"Apr 19, 2026 @ 20:02:31.927",ced44d3fe554613f71ed280fd5bc9334,https://www.limeroad.com/black-denim-jeans-miss-chase-p22362380,Women Solid High Rise Skinny Fit Jeans,Miss Chase,1199,3245,63,22362380,Black,CHASE LIFESTYLE PRIVATE LIMITED
"Apr 19, 2026 @ 20:02:31.934",728cafc1b327fb903b36a90daebe5b0e,https://www.limeroad.com/blue-cotton-blend-crimsoune-club-p21517969,Women Blue Straight Fit Jeans,CRIMSOUNE CLUB,1099,2199,50,21517969,blue,Mangla Apparels India Pvt. Ltd.
"Apr 19, 2026 @ 20:02:31.983",bb5d51ad4b59b798c0a2bf26bf3ab797,https://www.limeroad.com/ice-blue-cotton-v-mart-p22271771,Women Plain High Rise Wide Leg Jeans,V-Mart,589,699,16,22271771,Light blue,V MART RETAIL LTD
"Apr 19, 2026 @ 20:02:31.999",c82734097d32437873e6c1f88a3140b2,https://www.limeroad.com/fawn-cotton-v-mart-p22248424,Women Solid Mid Rise Wide Leg Jeans,Unlimited,589,699,16,22248424,Beige,V MART RETAIL LTD
"Apr 19, 2026 @ 20:02:32.381",7859eaa07eec6d489b1ac9570acc51b8,https://www.limeroad.com/mid-blue-cotton-v-mart-p21862459?imgIdx=0&src_id=fromsearch__0,Women Blue Low Rise Ankle Length Jeans,Twist by Vmart,699,799,13,21862459,Blue,V MART RETAIL LTD
"Apr 19, 2026 @ 20:02:32.396",25e797833a4f34e557b2f9ca130dff98,https://www.limeroad.com/blue-cotton-blend-crimsoune-club-p21916035?imgIdx=0&src_id=fromsearch__0,Women Solid Mid Rise Slim Fit Jean,CRIMSOUNE CLUB,1499,2499,40,21916035,blue,Mangla Apparels India Pvt. Ltd.
"Apr 19, 2026 @ 20:02:32.441",0b9ef886acac7da1ef17980f8a721c7a,https://www.limeroad.com/light-blue-denim-showoff-p21843537?imgIdx=0&src_id=fromsearch__0,Women High Rise Straight Fit Jean,SHOWOFFFF,1749,4698,63,21843537,light blue,Showoff
"Apr 19, 2026 @ 20:02:32.474",732130773ddf7bfd3d86ddaad99357bc,https://www.limeroad.com/black-denim-jeans-miss-chase-p22362380?imgIdx=0&src_id=fromsearch__0,Women Solid High Rise Skinny Fit Jeans,Miss Chase,1199,3245,63,22362380,Black,CHASE LIFESTYLE PRIVATE LIMITED
"Apr 19, 2026 @ 20:02:32.766",9d236ccf9ec555347ce580672016d5c4,https://www.limeroad.com/blue-cotton-jeans-miss-chase-a-p22433631?imgIdx=0&src_id=fromsearch__0,Women Solid High Rise Wide Leg Jeans,Miss Chase A+,1590,3245,51,22433631,Blue,CHASE LIFESTYLE PRIVATE LIMITED
"Apr 19, 2026 @ 20:02:32.826",a99aff5c7994e1c4ef0893e3c8fca745,https://www.limeroad.com/fawn-cotton-v-mart-p22248424?imgIdx=0&src_id=fromsearch__0,Women Solid Mid Rise Wide Leg Jeans,Unlimited,589,699,16,22248424,Beige,V MART RETAIL LTD
"Apr 19, 2026 @ 20:02:32.834",d14a3d808921751288624f849683d75b,https://www.limeroad.com/ice-blue-cotton-v-mart-p22271771?imgIdx=0&src_id=fromsearch__0,Women Plain High Rise Wide Leg Jeans,V-Mart,589,699,16,22271771,Light blue,V MART RETAIL LTD
"Apr 19, 2026 @ 20:02:32.942",6905470ca91f50bc03f304d39a4db91f,https://www.limeroad.com/blue-cotton-blend-crimsoune-club-p21517969?imgIdx=0&src_id=fromsearch__0,Women Blue Straight Fit Jeans,CRIMSOUNE CLUB,1099,2199,50,21517969,blue,Mangla Apparels India Pvt. Ltd.
"Apr 19, 2026 @ 20:02:33.128",6fbc5f5f419273ff0667caa1d2431eaa,https://www.limeroad.com/blue-cotton-rangriwaz-p21970009,Women Printed Collared Sleeveless Tiered Dress,RANGRIWAZ,799,2199,64,21970009,Navy Blue,SNR SOURCING
"Apr 19, 2026 @ 20:02:33.226",ad049108f3adbd1154d6adb5f4093114,https://www.limeroad.com/beige-cotton-dressitude-p21729129,Women Laced Three Quarter Sleeves A-Line Dress,Dressitude,1499,3999,63,21729129,Beige,Anjali Creations
"Apr 19, 2026 @ 20:02:33.232",7f00a163745d31a69a164fdfe51e3cdc,https://www.limeroad.com/maroon-dress-miss-chase-p22403199,Women Solid Puff Sleeve Lace Bodycon Dress,Miss Chase,1350,3395,60,22403199,Maroon,CHASE LIFESTYLE PRIVATE LIMITED
"Apr 19, 2026 @ 20:02:33.385",9c8c4e2786e5a723eada332a73e9bd58,https://www.limeroad.com/white-rayon-dress-v-mart-p22287429,Women Printed Sleeveless Fit And Flared Dress,Unlimited,539,599,10,22287429,Off White,V MART RETAIL LTD
