crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 20, 2026 @ 22:12:13.443",3ae8c5f99d8967460e5d8f9253232584,https://www.myntra.com/tshirts/surfbae/surfbae-women-cropped-raglan-colourblocked-round-neck-short-sleeves-cotton-boxy-tshirts/40983229/buy,Surfbae Women Cropped Raglan Colourblocked Round Neck Short Sleeves Cotton Boxy Tshirts,Surfbae,349,999,65,,,40983229,Blue
"Apr 20, 2026 @ 22:12:13.478",490e81fef2f20c95d1b739c6dde23f5d,https://www.myntra.com/tshirts/szn/szn-women-graphic-printed-round-neck-cotton-oversized-t-shirt/34558237/buy,SZN Women Graphic Printed Round Neck Cotton Oversized T-shirt,SZN,245,1199,80,4.2,1542,34558237,White
"Apr 20, 2026 @ 22:12:13.729",d55e4b1b2fde4b0d10b131eb7a146ccf,https://www.myntra.com/tshirts/glitchez/glitchez-typography-printed-oversized-t-shirt/32959072/buy,glitchez Typography Printed Oversized T-shirt,glitchez,319,799,60,4.4,657,32959072,Beige
"Apr 20, 2026 @ 22:12:14.149",bc185969f2ef43b83353a1fb19cb5891,https://www.myntra.com/tshirts/highlander/highlander-unisex-typography-printed-oversized-t-shirt/24355644/buy,HIGHLANDER Unisex Typography Printed Oversized T-shirt,HIGHLANDER,239,1199,80,4.4,37,24355644,Black
"Apr 20, 2026 @ 22:12:15.451",e03c07f446238f2b6c15ce7062009f76,https://www.myntra.com/tshirts/leotude/leotude-women-typography-printed-round-neck-cotton-oversized-t-shirt/37229392/buy,Leotude Women Typography Printed Round Neck Cotton Oversized T-shirt,Leotude,349,1099,68,4.1,1313,37229392,Beige
"Apr 20, 2026 @ 22:12:15.536",a49344ce224868996f875a9d6c0b080e,https://www.myntra.com/kurtas/dmp+export/dmp-export-girls-grey-cotton-kurtas/36831165/buy,DMP EXPORT Girls Grey Cotton Kurtas,DMP EXPORT,370,1499,75,4.4,18,36831165,Grey
"Apr 20, 2026 @ 22:12:15.806",6f0e048afbac95a7ec1845236897d05a,https://www.myntra.com/kurtas/dmp+export/dmp-export-girls-yellow-cotton-kurtas/36831172/buy,DMP EXPORT Girls Yellow Cotton Kurtas,DMP EXPORT,370,1499,75,4.7,16,36831172,Yellow
"Apr 20, 2026 @ 22:12:16.014",ca577001ca461535aa30b089e0e88c1a,https://www.myntra.com/kurtas/sangria/sangria-printed-round-neck-calf-length-straight-kurtas/40658890/buy,Sangria Printed Round Neck Calf Length Straight Kurtas,Sangria,845,1999,58,,,40658890,Turquoise Blue
"Apr 20, 2026 @ 22:12:17.393",5cd7669019f4bc4f51750db03c1fb83c,https://www.myntra.com/kurtas/raindrop/raindrop-women-blue-kurtas/35244159/buy,RAINDROP Women Blue Kurtas,RAINDROP,401,1999,80,4.3,254,35244159,Blue
"Apr 20, 2026 @ 22:12:17.549",642753eb5c77a7c81be50135dafa06ad,https://www.myntra.com/kurtas/sangria/sangria-floral-embroidered--cotton-straight-kurtas/27275880/buy,Sangria Floral Embroidered  Cotton Straight Kurtas,Sangria,874,3499,75,4.0,611,27275880,Mauve
